MovieTitle,ReleaseYear,Genres
Show Me Love,1998,"Comedy,Drama,Romance"
Mad Max: Fury Road,2015,"Action,Adventure,Sci-Fi"
Love Me If You Dare,2003,"Comedy,Drama,Romance"
"Black Cat, White Cat",1998,"Comedy,Crime,Romance"
Central Station,1998,Drama
Hero,2002,"Action,Adventure,Drama"
Sicario,2015,"Action,Crime,Drama"
Blue Is the Warmest Color,2013,"Drama,Romance"
The Road Warrior,1981,"Action,Adventure,Sci-Fi"
Hotel Mumbai,2018,"Action,Drama,History"
Talk to Her,2002,"Drama,Mystery,Romance"
The Hangover Part II,2011,Comedy
Raise the Red Lantern,1991,"Drama,Romance"
Farewell My Concubine,1993,"Drama,Music,Romance"
Bad Education,2004,"Crime,Drama"
In the Mood for Love,2000,"Drama,Romance"
Bruno,2019,Drama
Night at the Museum: Battle of the Smithsonian,2009,"Adventure,Comedy,Family"
The Triplets of Belleville,2003,"Adventure,Animation,Comedy"
Up,2009,"Adventure,Animation,Comedy"
Shaun the Sheep Movie,2015,"Adventure,Animation,Comedy"
Night at the Museum: Secret of the Tomb,2014,"Adventure,Comedy,Family"
Skyfall,2012,"Action,Adventure,Thriller"
After Life,1998,"Drama,Fantasy"
Grave of the Fireflies,1988,"Animation,Drama,War"
Princess Mononoke,1997,"Action,Adventure,Animation"
A Short Film About Love,1988,"Drama,Romance"
Sanjuro,1962,"Action,Drama,Thriller"
A Very Long Engagement,2004,"Drama,Mystery,Romance"
Life is Beautiful,2018,"Drama,Short"
Gone Girl,2014,"Drama,Mystery,Thriller"
Once Upon a Time in the West,1968,Western
Cruel Intentions 2,2000,Drama
The Band's Visit,2007,"Comedy,Drama,Music"
Nebraska,2013,Drama
Battle Royale,2000,"Action,Adventure,Drama"
Child's Play,1988,"Horror,Thriller"
Taxi,1998,"Action,Comedy,Crime"
The Girl Who Played with Fire,2009,"Action,Crime,Drama"
Shaolin Soccer,2001,"Action,Comedy,Fantasy"
Timecrimes,2007,"Horror,Mystery,Sci-Fi"
Ghost in the Shell 2: Innocence,2004,"Animation,Drama,Mystery"
Barbershop,2002,"Comedy,Drama"
Kung Fu Hustle,2004,"Action,Comedy,Fantasy"
Coherence,2013,"Drama,Mystery,Sci-Fi"
The Avengers,2012,"Action,Sci-Fi"
National Lampoon's Vacation,1983,"Adventure,Comedy"
Women on the Verge of a Nervous Breakdown,1988,"Comedy,Drama"
Spellbound,2002,"Comedy,Documentary,Thriller"
Like Water for Chocolate,1992,"Drama,Romance"
Leon: The Professional,1994,"Action,Crime,Drama"
X2: X-Men United,2003,"Action,Sci-Fi,Thriller"
Battlestar Galactica: The Plan,2009,"Action,Adventure,Drama"
Battlestar Galactica: Blood & Chrome,2012,"Action,Sci-Fi"
Fast Five,2011,"Action,Crime,Thriller"
Wild Strawberries,1957,"Drama,Romance"
Toy Story 3,2010,"Adventure,Animation,Comedy"
Priceless,2006,"Comedy,Romance"
