uid,random_state,k,final_k,allow_explanations,num_prompts,temperature,selection_style,prompt_style,embedding_level,title_threshold,min_sim_quantile,model,usage,unmatched_count,like_example_size,like_feedback_size,like_eval_size,dislike_example_size,dislike_feedback_size,dislike_eval_size,recall_final,precision_final,ndcg_final,ils_final,ap_final,dq_final
59327,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2282,0,10,138,73,10,24,17,0.273972602739726,0.55,0.6281170377246029,0.7946800450020958,0.693312325359539,0.0
59327,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2322,0,10,138,73,10,24,17,0.3287671232876712,0.6,0.6185484952949633,0.778829599584681,0.5891021145607058,0.6
59557,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2317,0,10,138,73,10,19,14,0.3424657534246575,0.55,0.6258926803099516,0.7855126961037688,0.7369885796607933,0.35
3541,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2266,0,10,138,74,10,20,14,0.2702702702702703,0.6,0.7008603216186524,0.7831529957643146,0.826260483152898,0.0
57977,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2323,0,10,138,73,10,22,16,0.2876712328767123,0.65,0.6804596872595858,0.7911210280778991,0.706994242857246,0.0
3541,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2319,0,10,138,74,10,20,14,0.3378378378378378,0.65,0.6818530605991503,0.7837943062264365,0.6958899998780029,0.25
57977,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2327,0,10,138,73,10,22,16,0.273972602739726,0.7,0.7140118582700489,0.7886195322183714,0.7152508218046143,0.0
59557,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2310,0,10,138,73,10,19,14,0.4383561643835616,0.6,0.6625612258551291,0.7853306601553354,0.6767526146454165,0.6
13656,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2320,0,10,138,73,10,12,11,0.273972602739726,0.6,0.590860435238543,0.7779357828133674,0.534328927221729,0.85
57977,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2323,0,10,138,73,10,22,16,0.2876712328767123,0.65,0.6804596872595858,0.7911210280778991,0.706994242857246,0.0
59557,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2310,0,10,138,73,10,19,14,0.4383561643835616,0.6,0.6625612258551291,0.7853306601553354,0.6767526146454165,0.6
3541,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2320,1,10,138,74,10,20,14,0.3378378378378378,0.75,0.7597567694097401,0.7858685218182415,0.7460236059520116,0.35
59327,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2321,0,10,138,73,10,24,17,0.3287671232876712,0.6,0.6185484952949633,0.778829599584681,0.5891021145607058,0.6
13656,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2320,0,10,138,73,10,12,11,0.273972602739726,0.6,0.590860435238543,0.7779357828133674,0.534328927221729,0.85
13656,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2320,0,10,138,73,10,12,11,0.273972602739726,0.6,0.590860435238543,0.7779357828133674,0.534328927221729,0.85
60450,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2106,1,10,139,74,10,90,50,0.0675675675675675,0.15,0.1583068990371343,0.783226102619038,0.1831072990477014,0.25
60450,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2114,0,10,139,74,10,90,50,0.1216216216216216,0.3,0.3899550351823948,0.7943926233641178,0.452821710238506,0.35
17307,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,1966,0,10,140,74,10,14,11,0.2567567567567567,0.6,0.6663831862734225,0.7975554000410663,0.7332857291487321,0.8
60450,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2110,0,10,139,74,10,90,50,0.0945945945945946,0.2,0.3215800547064035,0.7885447455566471,0.4303812647620697,0.05
29421,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2064,0,10,140,74,10,82,46,0.1891891891891892,0.2,0.2945182310722138,0.7913677457932282,0.3647079103387153,0.0
11188,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2218,1,10,139,74,10,26,17,0.4054054054054054,0.85,0.8259530021391691,0.79298604993424,0.7864303212697176,0.15
29421,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2346,0,10,140,74,10,82,46,0.1891891891891892,0.3,0.3436900632806751,0.7907430762462582,0.4341842570054644,0.05
11188,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2218,1,10,139,74,10,26,17,0.4054054054054054,0.85,0.8259530021391691,0.79298604993424,0.7864303212697176,0.15
17307,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2302,0,10,140,74,10,14,11,0.2432432432432432,0.55,0.6286873188764992,0.7863984623689194,0.6729669354553256,0.75
11188,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2218,1,10,139,74,10,26,17,0.4054054054054054,0.85,0.8259530021391691,0.79298604993424,0.7864303212697176,0.15
5978,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2296,4,10,140,74,10,55,32,0.2702702702702703,0.65,0.6137546084322404,0.7932454813290516,0.631495569703774,0.05
5978,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2342,2,10,140,74,10,55,32,0.2297297297297297,0.6,0.638539498165046,0.7804547478094057,0.6672781103915005,0.45
29421,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2302,0,10,140,74,10,82,46,0.1216216216216216,0.3,0.3669759605006225,0.7900375829933319,0.497873484444692,0.15
17307,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2305,0,10,140,74,10,14,11,0.2432432432432432,0.55,0.6243028780675416,0.7883577546237979,0.6562419937303839,0.75
5978,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2334,2,10,140,74,10,55,32,0.2837837837837837,0.65,0.6603005931655298,0.7856548136738305,0.6450449859737785,0.3
14918,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2093,0,10,140,75,10,52,30,0.2666666666666666,0.65,0.7200537032658421,0.7847098336489496,0.779896543729748,0.3
14918,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2093,0,10,140,75,10,52,30,0.32,0.7,0.7159571844900766,0.7818032104137985,0.693711319640112,0.5
45050,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2303,0,10,140,75,10,23,16,0.3066666666666666,0.6,0.6827605396969657,0.7839329838365972,0.7890809959734107,0.5
6323,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2207,0,10,140,75,10,35,22,0.3466666666666667,0.55,0.6439006782511792,0.794043714949353,0.7624665738887876,0.65
45050,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2303,0,10,140,75,10,23,16,0.3066666666666666,0.6,0.6827605396969657,0.7839329838365972,0.7890809959734107,0.5
14918,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2218,0,10,140,75,10,52,30,0.3466666666666667,0.75,0.8098298155548018,0.7839479400943418,0.8792340015076083,0.5
6323,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2214,0,10,140,75,10,35,22,0.3333333333333333,0.7,0.7851994220666528,0.7986231418909322,0.9022460150788324,0.25
45050,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2287,0,10,140,75,10,23,16,0.3466666666666667,0.8,0.8198069319197735,0.7829863350976493,0.8321974065666016,0.8
41335,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2319,2,10,140,75,10,47,28,0.28,0.5,0.5889937584048257,0.7057904484479022,0.6695564387882499,0.2
6323,22222,10,20,False,3,0.0,stratified,cot,4,0.75,0.99,gpt,2263,0,10,140,75,10,35,22,0.3333333333333333,0.6,0.514821569145877,0.7915705689670813,0.4635609247993149,0.45
