uid,random_state,k,final_k,allow_explanations,num_prompts,temperature,selection_style,prompt_style,embedding_level,title_threshold,min_sim_quantile,model,usage,unmatched_count,like_example_size,like_feedback_size,like_eval_size,dislike_example_size,dislike_feedback_size,dislike_eval_size,recall_final,precision_final,ndcg_final,ils_final,ap_final,dq_final,explain
3541,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1356,0,10,138,74,10,20,14,0.3243243243243243,0.75,0.7876807976049275,0.792006521267927,0.8317168016452072,0.8,0.0
59557,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1352,0,10,138,73,10,19,14,0.4794520547945205,0.95,0.9572416874849684,0.7937348481033458,0.9560058742856729,0.8,0.0
59557,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1352,0,10,138,73,10,19,14,0.4794520547945205,0.95,0.9572416874849684,0.7937348481033458,0.9560058742856729,0.8,0.0
57977,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1392,0,10,138,73,10,22,16,0.2328767123287671,0.7,0.7668783665736331,0.7892428154441485,0.8318121923655978,0.85,0.0
3541,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1440,0,10,138,74,10,20,14,0.4324324324324324,0.8,0.8302361763476692,0.7920322105943457,0.8415835759527711,0.8,0.0
59557,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1351,0,10,138,73,10,19,14,0.4383561643835616,0.95,0.9103827127966564,0.7965324736269985,0.8701130171428157,0.9,0.0
57977,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1445,0,10,138,73,10,22,16,0.2328767123287671,0.55,0.6051235368829092,0.7825645979933077,0.6793298495020631,0.7,0.0
59327,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1468,0,10,138,73,10,24,17,0.2602739726027397,0.6,0.6629384301596893,0.7918556991605291,0.7272068336290473,0.95,0.0
3541,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1356,0,10,138,74,10,20,14,0.3243243243243243,0.75,0.7876807976049275,0.792006521267927,0.8317168016452072,0.8,0.0
59327,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1360,0,10,138,73,10,24,17,0.410958904109589,0.75,0.7941168321688485,0.779346315476873,0.8303680063916132,0.5,0.0
59327,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1360,0,10,138,73,10,24,17,0.410958904109589,0.75,0.7941168321688485,0.779346315476873,0.8303680063916132,0.5,0.0
13656,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1519,0,10,138,73,10,12,11,0.3013698630136986,0.8,0.7709410749951786,0.7935428669265033,0.7205897087089037,0.9,0.0
57977,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1441,0,10,138,73,10,22,16,0.2328767123287671,0.55,0.603326796424879,0.7839539395159414,0.6719122670844807,0.7,0.0
13656,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1549,0,10,138,73,10,12,11,0.2465753424657534,0.65,0.6869110531995336,0.794124779515095,0.6870252535132566,0.85,0.0
13656,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1545,0,10,138,73,10,12,11,0.1917808219178082,0.65,0.680795634507568,0.7928061155202216,0.7096857874237905,0.75,0.0
11188,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1322,0,10,139,74,10,26,17,0.3783783783783784,0.8,0.7999583637484053,0.7932153850354943,0.7870838344232307,0.75,0.0
17307,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1343,0,10,140,74,10,14,11,0.2972972972972973,0.65,0.5673657673451236,0.795218549686168,0.4975294021424051,0.85,0.0
5978,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1382,0,10,140,74,10,55,32,0.2702702702702703,0.6,0.519084503652823,0.7884053862470444,0.4724354478940392,0.65,0.0
11188,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1322,0,10,139,74,10,26,17,0.3783783783783784,0.8,0.7999583637484053,0.7932153850354943,0.7870838344232307,0.75,0.0
17307,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1355,0,10,140,74,10,14,11,0.2567567567567567,0.4,0.384104561911388,0.7882851435871765,0.3894516723386692,0.5,0.0
29421,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1493,3,10,140,74,10,82,46,0.0675675675675675,0.1,0.1830988190205463,0.5640776397392161,0.2183255530159555,0.05,0.0
17307,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1355,0,10,140,74,10,14,11,0.2567567567567567,0.4,0.384104561911388,0.7882851435871765,0.3894516723386692,0.5,0.0
60450,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1503,1,10,139,74,10,90,50,0.0405405405405405,0.05,0.0328649705675769,0.7104352012433958,0.0051315789473684,0.4,0.0
29421,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1473,0,10,140,74,10,82,46,0.1756756756756756,0.2631578947368421,0.314017630311495,0.7760304536242913,0.328580383686706,0.2105263157894736,0.0
5978,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1369,0,10,140,74,10,55,32,0.2702702702702703,0.65,0.5570139840194589,0.7921919351605712,0.4954414002749917,0.6,0.0
60450,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1490,1,10,139,74,10,90,50,0.0405405405405405,0.05,0.0328649705675769,0.7075027318231324,0.0051315789473684,0.4,0.0
11188,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1322,0,10,139,74,10,26,17,0.3783783783783784,0.8,0.7999583637484053,0.7932153850354943,0.7870838344232307,0.75,0.0
60450,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1503,1,10,139,74,10,90,50,0.0405405405405405,0.05,0.0328649705675769,0.7104352012433958,0.0051315789473684,0.4,0.0
5978,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1391,0,10,140,74,10,55,32,0.2432432432432432,0.45,0.438783076479641,0.7757104423160432,0.4397750192274185,0.5,0.0
29421,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1482,0,10,140,74,10,82,46,0.2837837837837837,0.3684210526315789,0.3851304420776145,0.7785845590617579,0.3494499272566733,0.5263157894736842,0.0
6323,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1419,0,10,140,75,10,35,22,0.3333333333333333,0.7,0.7429288147411952,0.8004364623982403,0.8297460150788325,0.7,0.0
6323,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1419,0,10,140,75,10,35,22,0.3333333333333333,0.7,0.7429288147411952,0.8004364623982403,0.8297460150788325,0.7,0.0
14918,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1435,0,10,140,75,10,52,30,0.2933333333333333,0.75,0.8054810960631166,0.8025626286512749,0.8573885400375337,0.55,0.0
14918,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1440,0,10,140,75,10,52,30,0.3866666666666666,0.85,0.8798313348609861,0.7934838744417364,0.9061202840846804,0.7,0.0
58604,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1371,0,10,140,75,10,26,18,0.3066666666666666,0.8,0.8199422431793807,0.7898942456313974,0.8019221262913213,0.5,0.0
41335,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1443,0,10,140,75,10,47,28,0.24,0.45,0.4428956228941232,0.7979875307348927,0.4825165342483453,0.5,0.0
58604,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1451,0,10,140,75,10,26,18,0.2666666666666666,0.9,0.9336975380477096,0.7988891042857514,0.9869590643274851,0.9,0.0
45050,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1465,0,10,140,75,10,23,16,0.2666666666666666,0.65,0.7019532022216366,0.785921095744215,0.7461763056345099,0.4,0.0
14918,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1437,0,10,140,75,10,52,30,0.36,0.8,0.8409911059715308,0.8006721095023773,0.8746974065666017,0.6,0.0
41335,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1443,0,10,140,75,10,47,28,0.24,0.45,0.4428956228941232,0.7979875307348927,0.4825165342483453,0.5,0.0
6323,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1423,0,10,140,75,10,35,22,0.3466666666666667,0.75,0.7763663061259086,0.8004204036860506,0.8376553718039788,0.75,0.0
58604,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1449,0,10,140,75,10,26,18,0.2666666666666666,0.85,0.9013592468993896,0.7970508044304764,0.9844590643274854,0.9,0.0
41335,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1443,0,10,140,75,10,47,28,0.24,0.45,0.4428956228941232,0.7979875307348927,0.4825165342483453,0.5,0.0
45050,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1465,0,10,140,75,10,23,16,0.2666666666666666,0.65,0.7019532022216366,0.785921095744215,0.7461763056345099,0.4,0.0
45050,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1465,0,10,140,75,10,23,16,0.2666666666666666,0.65,0.7019532022216366,0.785921095744215,0.7461763056345099,0.4,0.0
61875,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1426,0,10,141,75,10,98,54,0.3066666666666666,0.25,0.2928531798083564,0.7797348732760725,0.2827956507716569,0.4,0.0
55899,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1470,0,10,142,75,10,88,49,0.2,0.3,0.3218673014918588,0.7922069558399423,0.3746189611901686,0.4,0.0
69820,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1419,0,10,142,76,10,18,14,0.2763157894736842,0.75,0.7490595020788163,0.7987178204253228,0.7360983024972962,0.8,0.0
69820,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1447,0,10,142,76,10,18,14,0.3157894736842105,0.85,0.8553169418281877,0.8022737010584092,0.8495062730956695,0.85,0.0
55899,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1462,0,10,142,75,10,88,49,0.2266666666666666,0.25,0.3509475889484764,0.7961858181661795,0.3988745770053819,1.0,0.0
24573,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1446,0,10,141,75,10,17,13,0.2,0.65,0.737976446816737,0.7930849481425585,0.8504741115867276,0.8,0.0
69820,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1433,0,10,142,76,10,18,14,0.2763157894736842,0.7,0.746237151163233,0.7985686777561242,0.7793988673864833,0.6,0.0
55899,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1470,0,10,142,75,10,88,49,0.2,0.3,0.3218673014918588,0.7922069558399423,0.3746189611901686,0.4,0.0
24573,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1446,0,10,141,75,10,17,13,0.2,0.65,0.737976446816737,0.7930849481425585,0.8504741115867276,0.8,0.0
29947,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1362,0,10,142,75,10,11,10,0.3333333333333333,0.8,0.832903155613862,0.7917939060779449,0.8653001779781967,0.95,0.0
61875,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1426,0,10,141,75,10,98,54,0.3066666666666666,0.25,0.2928531798083564,0.7797348732760725,0.2827956507716569,0.4,0.0
24573,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1443,0,10,141,75,10,17,13,0.2133333333333333,0.75,0.8056141391114721,0.7940254054868681,0.8683700993279168,0.85,0.0
29947,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1362,0,10,142,75,10,11,10,0.3333333333333333,0.8,0.832903155613862,0.7917939060779449,0.8653001779781967,0.95,0.0
61875,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1425,0,10,141,75,10,98,54,0.3066666666666666,0.25,0.2951674964977273,0.782213149799982,0.2915077719837781,0.4,0.0
29947,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1362,0,10,142,75,10,11,10,0.3333333333333333,0.8,0.832903155613862,0.7917939060779449,0.8653001779781967,0.95,0.0
36082,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1323,0,10,143,76,10,38,24,0.3947368421052631,0.85,0.8559699948356678,0.7940222896606034,0.837083834423231,0.8,0.0
36082,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1323,0,10,143,76,10,38,24,0.3947368421052631,0.85,0.8559699948356678,0.7940222896606034,0.837083834423231,0.8,0.0
15783,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1436,0,10,143,76,10,48,28,0.2631578947368421,0.6,0.588354147812086,0.7937402820748353,0.6281408097836116,0.6,0.0
15783,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1434,0,10,143,76,10,48,28,0.25,0.55,0.5588227320826905,0.7852072991734674,0.6364257448777574,0.55,0.0
18295,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1480,0,10,143,76,10,48,29,0.3421052631578947,0.55,0.5646534634400151,0.772257867609043,0.5613788269264276,0.5,0.0
20897,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1266,0,10,143,76,10,37,23,0.4605263157894737,0.55,0.5498390113446838,0.7852304599653411,0.5272344245022264,0.6,0.0
15783,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1434,0,10,143,76,10,48,28,0.25,0.55,0.5588227320826905,0.7852072991734674,0.6364257448777574,0.55,0.0
20897,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1253,0,10,143,76,10,37,23,0.5263157894736842,0.7,0.6620295527690592,0.7902238792806893,0.5947926688464613,0.8,0.0
54017,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1350,0,10,143,76,10,18,13,0.25,0.7,0.7797371586200953,0.7922803867959349,0.8750420180954237,0.8,0.0
54017,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1350,0,10,143,76,10,18,13,0.2631578947368421,0.7,0.7785391569316898,0.7910473629036291,0.8693230638470576,0.8,0.0
20897,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1267,0,10,143,76,10,37,23,0.4605263157894737,0.6,0.5821773024930036,0.7851380442101448,0.5297344245022263,0.6,0.0
36082,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1323,0,10,143,76,10,38,24,0.3947368421052631,0.85,0.8559699948356678,0.7940222896606034,0.837083834423231,0.8,0.0
54017,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1350,0,10,143,76,10,18,13,0.2631578947368421,0.7,0.7785391569316898,0.7910473629036291,0.8693230638470576,0.8,0.0
18295,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1480,0,10,143,76,10,48,29,0.3421052631578947,0.55,0.5646534634400151,0.772257867609043,0.5613788269264276,0.5,0.0
18295,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1480,0,10,143,76,10,48,29,0.3421052631578947,0.55,0.5646534634400151,0.772257867609043,0.5613788269264276,0.5,0.0
33943,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1321,0,10,144,76,10,15,12,0.4210526315789473,0.8,0.7129063799014395,0.7861432856000579,0.6430115923807874,0.5,0.0
33943,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1325,0,10,144,76,10,15,12,0.3552631578947368,0.85,0.8719734736794095,0.7950458217079983,0.8707358768252732,0.7,0.0
38927,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1403,0,10,145,77,10,24,17,0.2987012987012987,0.7,0.6091770036546579,0.7915185076033061,0.526929906608699,0.6,0.0
24592,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1466,0,10,146,77,10,42,25,0.2337662337662337,0.4,0.4332930476880963,0.7793363049510791,0.5303669528785628,0.15,0.0
66390,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1505,0,10,144,77,10,60,34,0.1038961038961039,0.35,0.3992530542564422,0.8026988880553895,0.4292660450574537,0.65,0.0
24592,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1468,0,10,146,77,10,42,25,0.2727272727272727,0.5,0.5012402820064917,0.7774070439635044,0.5564300461320586,0.2,0.0
38927,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1398,0,10,145,77,10,24,17,0.2987012987012987,0.75,0.8200617090286294,0.7978079668385862,0.90576622444463,0.65,0.0
32308,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1440,0,10,144,76,10,141,75,0.2631578947368421,0.25,0.2985481774100788,0.7878856038056224,0.2841191730955663,0.35,0.0
38927,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1404,0,10,145,77,10,24,17,0.2987012987012987,0.55,0.4659886038438919,0.7874380651369134,0.4178551977777983,0.45,0.0
32308,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1446,1,10,144,76,10,141,75,0.2368421052631578,0.25,0.2413644062811314,0.7188482114315781,0.2229333654391704,0.55,0.0
66390,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1505,0,10,144,77,10,60,34,0.1038961038961039,0.35,0.3992530542564422,0.8026988880553895,0.4292660450574537,0.65,0.0
33943,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1321,0,10,144,76,10,15,12,0.4210526315789473,0.8,0.7129063799014395,0.7861432856000579,0.6430115923807874,0.5,0.0
32308,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1448,0,10,144,76,10,141,75,0.25,0.2,0.3029069355699607,0.7910518742121923,0.3437986602750535,0.1,0.0
24592,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1465,0,10,146,77,10,42,25,0.2337662337662337,0.45,0.4664776169165407,0.7806067363425239,0.5364383814499913,0.2,0.0
66390,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1495,0,10,144,77,10,60,34,0.3246753246753247,0.55,0.5642787360137738,0.7856098923066548,0.6529737750209887,0.35,0.0
60863,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1453,0,10,146,77,10,69,39,0.3376623376623376,0.45,0.3904329478102349,0.7861543234790989,0.3438435049212913,0.55,0.0
69716,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1481,0,10,147,78,10,36,23,0.1794871794871795,0.65,0.5759707499463077,0.7765838485573566,0.5245730529360559,0.5,0.0
22035,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1432,0,10,148,78,10,20,14,0.3974358974358974,0.95,0.945051411928014,0.8033574841399689,0.9242796838094824,0.9,0.0
22035,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1329,0,10,148,78,10,20,14,0.3974358974358974,0.9,0.893469970274757,0.801761214625771,0.8778041506137481,0.95,0.0
267,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1448,0,10,148,78,10,121,65,0.2179487179487179,0.3,0.2950567160937,0.7855161561301247,0.316563405634613,0.45,0.0
267,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1453,0,10,148,78,10,121,65,0.2051282051282051,0.35,0.3512999568997765,0.7931053498644104,0.3671586437298511,0.5,0.0
22035,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1329,0,10,148,78,10,20,14,0.3974358974358974,0.9,0.893469970274757,0.801761214625771,0.8778041506137481,0.95,0.0
30897,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1346,0,10,146,78,10,55,32,0.3333333333333333,0.6,0.694464388300608,0.783558951333151,0.7923090924813061,0.55,0.0
30897,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1345,0,10,146,78,10,55,32,0.2948717948717949,0.6,0.694464388300608,0.7836538078168348,0.7923090924813061,0.5,0.0
69716,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1482,0,10,147,78,10,36,23,0.2179487179487179,0.65,0.7000086877193736,0.7859451120037753,0.7404935855767898,0.45,0.0
30897,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1346,0,10,146,78,10,55,32,0.3333333333333333,0.6,0.694464388300608,0.783558951333151,0.7923090924813061,0.55,0.0
69716,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1481,0,10,147,78,10,36,23,0.1794871794871795,0.65,0.5759707499463077,0.7765838485573566,0.5245730529360559,0.5,0.0
267,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1458,0,10,148,78,10,121,65,0.141025641025641,0.25,0.2798171903765279,0.7879691447091585,0.332432194783201,0.55,0.0
60863,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1466,0,10,146,77,10,69,39,0.2467532467532467,0.45,0.4003177811919574,0.7862990710659303,0.3900398238672232,0.5,0.0
60863,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1462,0,10,146,77,10,69,39,0.3766233766233766,0.55,0.4674062450391457,0.7888240514672589,0.4065153570629577,0.45,0.0
19741,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1431,0,10,150,80,10,82,45,0.125,0.35,0.317283018380211,0.7985853769961554,0.2873358225022311,0.3,0.0
8858,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1343,0,10,150,80,10,16,13,0.375,0.75,0.7990707389082348,0.7932387613021611,0.8420075525609582,0.9,0.0
31193,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1377,0,10,150,79,10,45,27,0.2278481012658227,0.65,0.6950846279898996,0.786159985928985,0.6965132399420325,0.5,0.0
13014,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1476,0,10,149,79,10,23,16,0.3417721518987341,0.8,0.8047009819542205,0.7920146807729421,0.8229461227197297,0.75,0.0
31193,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1370,0,10,150,79,10,45,27,0.2911392405063291,0.75,0.6836090722287578,0.7955751390256404,0.6561677469417406,0.9,0.0
19741,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1418,0,10,150,80,10,82,45,0.2125,0.4,0.4306967339884026,0.7994906566830087,0.5104876450948432,0.7,0.0
8858,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1343,0,10,150,80,10,16,13,0.375,0.75,0.7990707389082348,0.7932387613021611,0.8420075525609582,0.9,0.0
19741,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1446,0,10,150,80,10,82,45,0.1625,0.5,0.5311491414651134,0.7819887156612281,0.4985984670214546,0.1,0.0
31193,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1381,0,10,150,79,10,45,27,0.2278481012658227,0.7,0.7296098104065579,0.783599577823007,0.7074048483336408,0.5,0.0
8858,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1345,0,10,150,80,10,16,13,0.4125,0.75,0.7713532623622805,0.7931874274425468,0.7732755900789957,0.95,0.0
13014,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1485,0,10,149,79,10,23,16,0.2784810126582278,0.8,0.8005107884549163,0.7908275239204482,0.8068483805925757,0.55,0.0
12986,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1279,0,10,150,80,10,16,13,0.3375,0.95,0.9652498273011312,0.7984338630471978,0.9860244668042654,1.0,0.0
12986,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1269,0,10,150,80,10,16,13,0.425,0.95,0.9665625086152866,0.7976386706731196,0.9920906432748536,1.0,0.0
12986,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1289,0,10,150,80,10,16,13,0.4125,0.95,0.9652498273011312,0.7990050830116406,0.9860244668042654,1.0,0.0
13014,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1474,0,10,149,79,10,23,16,0.3417721518987341,0.8,0.8005359364344367,0.7921225228454287,0.8096433582327546,0.8,0.0
38047,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1427,0,10,151,80,10,20,14,0.3375,0.9,0.9261053519262028,0.7974193805968705,0.9537980178576154,0.8,0.0
3304,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1432,0,10,150,80,10,90,50,0.3,0.65,0.611295117602921,0.7974472400933831,0.6399993575825619,0.7,0.0
70782,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1352,0,10,150,80,10,36,23,0.2125,0.5,0.5047233952350001,0.7850473098356019,0.545360891688291,0.85,0.0
42773,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1424,0,10,150,80,10,12,10,0.275,0.65,0.5767326390794282,0.8024589460993005,0.5698707851745777,0.8,0.0
28452,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1446,0,10,150,80,10,55,32,0.2,0.55,0.5997868966264154,0.7927933068755736,0.6405604786080793,0.3,0.0
38047,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1427,0,10,151,80,10,20,14,0.3375,0.9,0.9261053519262028,0.7974193805968705,0.9537980178576154,0.8,0.0
70782,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1352,0,10,150,80,10,36,23,0.2125,0.5,0.5047233952350001,0.7850473098356019,0.545360891688291,0.85,0.0
38047,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1427,0,10,151,80,10,20,14,0.3375,0.9,0.9261053519262028,0.7974193805968705,0.9537980178576154,0.8,0.0
3304,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1449,0,10,150,80,10,90,50,0.275,0.45,0.5391250613363304,0.7947736934143244,0.5934397368627244,0.35,0.0
42773,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1422,0,10,150,80,10,12,10,0.2875,0.7,0.6376346029142891,0.7988051102974669,0.6074212412544455,0.8,0.0
42773,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1426,0,10,150,80,10,12,10,0.2875,0.75,0.6748212393912666,0.7994850161748382,0.6305954026193963,0.85,0.0
3304,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1440,0,10,150,80,10,90,50,0.3,0.5,0.5581487853045922,0.7936773045024325,0.6006580689262578,0.25,0.0
70782,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1352,0,10,150,80,10,36,23,0.2125,0.5,0.5047233952350001,0.7850473098356019,0.545360891688291,0.85,0.0
28452,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1443,0,10,150,80,10,55,32,0.1875,0.45,0.5349644603994684,0.7891240675419696,0.6324445923014033,0.3,0.0
28452,22222,10,20,False,3,0.0,stratified,few,4,0.75,0.99,gpt,1443,0,10,150,80,10,55,32,0.1875,0.55,0.6530429396760089,0.7930018468892657,0.7523427445447569,0.35,0.0
