uid,random_state,k,final_k,allow_explanations,num_prompts,temperature,selection_style,prompt_style,embedding_level,title_threshold,min_sim_quantile,model,usage,unmatched_count,like_example_size,like_feedback_size,like_eval_size,dislike_example_size,dislike_feedback_size,dislike_eval_size,recall_final,precision_final,ndcg_final,ils_final,ap_final,dq_final
13656,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,73,10,12,11,0.2191780821917808,0.35,0.3756884528901108,0.7728487726924039,0.4441884837298924,0.0
13656,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,73,10,12,11,0.2191780821917808,0.35,0.3756884528901108,0.7728487726924039,0.4441884837298924,0.0
13656,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,73,10,12,11,0.2191780821917808,0.35,0.3756884528901108,0.7728487726924039,0.4441884837298924,0.0
59327,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,73,10,24,17,0.1232876712328767,0.3,0.3378954872029064,0.7710990618755111,0.3167640924606869,0.0
59327,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,73,10,24,17,0.1232876712328767,0.3,0.3378954872029064,0.7710990618755111,0.3167640924606869,0.0
59327,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,73,10,24,17,0.1232876712328767,0.3,0.3378954872029064,0.7710990618755111,0.3167640924606869,0.0
57977,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,73,10,22,16,0.0547945205479452,0.05,0.1420400396336573,0.7714904545796737,0.1798869828571841,0.0
57977,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,73,10,22,16,0.0547945205479452,0.05,0.1420400396336573,0.7714904545796737,0.1798869828571841,0.0
57977,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,73,10,22,16,0.0547945205479452,0.05,0.1420400396336573,0.7714904545796737,0.1798869828571841,0.0
59557,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,73,10,19,14,0.136986301369863,0.25,0.2746452282681635,0.7665437729168927,0.3127927859893805,0.0
59557,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,73,10,19,14,0.136986301369863,0.25,0.2746452282681635,0.7665437729168927,0.3127927859893805,0.0
59557,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,73,10,19,14,0.136986301369863,0.25,0.2746452282681635,0.7665437729168927,0.3127927859893805,0.0
3541,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,74,10,20,14,0.081081081081081,0.1,0.1251272971117577,0.7752503812294157,0.1471958493862518,0.0
3541,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,74,10,20,14,0.081081081081081,0.1,0.1251272971117577,0.7752503812294157,0.1471958493862518,0.0
3541,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,138,74,10,20,14,0.081081081081081,0.1,0.1251272971117577,0.7752503812294157,0.1471958493862518,0.0
11188,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,139,74,10,26,17,0.2837837837837837,0.45,0.4703862684710535,0.7759180107063149,0.4584444053968047,0.0
11188,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,139,74,10,26,17,0.2837837837837837,0.45,0.4703862684710535,0.7759180107063149,0.4584444053968047,0.0
11188,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,139,74,10,26,17,0.2837837837837837,0.45,0.4703862684710535,0.7759180107063149,0.4584444053968047,0.0
60450,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,139,74,10,90,50,0.1486486486486486,0.2,0.2138917845034894,0.7742269720648253,0.2454389848197897,0.0
