uid,random_state,k,final_k,allow_explanations,num_prompts,temperature,selection_style,prompt_style,embedding_level,title_threshold,min_sim_quantile,model,usage,unmatched_count,like_example_size,like_feedback_size,like_eval_size,dislike_example_size,dislike_feedback_size,dislike_eval_size,recall_final,precision_final,ndcg_final,ils_final,ap_final,dq_final,novelty,popular
59327,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1754,1,10,138,73,10,24,17,0.2328767123287671,0.6,0.5170561534759789,0.7912131693662421,0.4644226273812187,0.8,0.6399999999999999,0.0
57977,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1686,2,10,138,73,10,22,16,0.2054794520547945,0.3684210526315789,0.4525437359612255,0.7035360534499007,0.5319017375722607,1.0,0.1899999999999999,0.0
59327,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1756,8,10,138,73,10,24,17,0.136986301369863,0.5,0.5149601185575085,0.7892483795222979,0.5067890213072102,0.75,0.7376190476190473,0.0
13656,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1629,0,10,138,73,10,12,11,0.1506849315068493,0.3684210526315789,0.294043898839356,0.7939135829007941,0.2283133668786268,0.6842105263157895,0.2289265536723163,0.0
13656,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1662,1,10,138,73,10,12,11,0.0958904109589041,0.2631578947368421,0.2391419322108904,0.7909124062087114,0.2330567337899911,0.8947368421052632,0.2257627118644067,0.0
3541,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1760,2,10,138,74,10,20,14,0.0675675675675675,0.45,0.4957832093829843,0.7192163041770376,0.5092789874813868,1.0,0.191412429378531,0.0
13656,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1662,1,10,138,73,10,12,11,0.0958904109589041,0.2631578947368421,0.2391419322108904,0.7909124062087114,0.2330567337899911,0.8947368421052632,0.2257627118644067,0.0
59557,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1787,0,10,138,73,10,19,14,0.0547945205479452,0.2631578947368421,0.2196118395078881,0.7925494236711151,0.1860029104203782,0.7894736842105263,0.1054237288135593,0.0
3541,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1755,2,10,138,74,10,20,14,0.1486486486486486,0.5,0.5993357366596669,0.7060393852197466,0.678392304719704,1.0,0.1729943502824859,0.0
59557,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1751,4,10,138,73,10,19,14,0.0684931506849315,0.25,0.2631076716795636,0.6333848473163556,0.3263806074816137,1.0,0.1862146892655367,0.0
59557,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1790,2,10,138,73,10,19,14,0.1506849315068493,0.5,0.5044266565387403,0.7928988821669215,0.4824314752584876,0.55,0.3604519774011299,0.0
3541,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1758,1,10,138,74,10,20,14,0.0675675675675675,0.3,0.4048993196922135,0.7151151083450143,0.4711765008727083,0.95,0.2090395480225988,0.0
59327,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1720,1,10,138,73,10,24,17,0.1917808219178082,0.5263157894736842,0.6149357087280634,0.7880967893909244,0.6797735132446718,0.4736842105263157,0.6366666666666666,0.0
57977,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1839,8,10,138,73,10,22,16,0.1232876712328767,0.35,0.387067219576287,0.4328133320610814,0.3530294885712842,0.7,0.2637777777777778,0.0
57977,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1859,14,10,138,73,10,22,16,0.0821917808219178,0.15,0.2514446976158688,0.149986046561006,0.313667081327685,0.5,0.3049999999999999,0.0
